"TOA5","FRG","CR3000","7964","CR3000.Std.32","CPU:SnowExp_CSAT_high_R1.CR3","23876","highfreq"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","vh","diag_word"
"TS","RN","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-27 13:30:44.4","170868739","-0.774","0.239","0.27","-4.54","197.4","0"
"2022-01-27 13:30:44.45","170868740","-0.733","0.342","0.302","-4.61","199.3","0"
"2022-01-27 13:30:44.5","170868741","-0.77","0.199","0.232","-4.305","198.1","0"
"2022-01-27 13:30:44.55","170868742","-0.769","0.111","0.276","-4.534","199.6","0"
"2022-01-27 13:30:44.6","170868743","-0.826","0.23","0.262","-4.368","198.8","0"
"2022-01-27 13:30:44.65","170868744","-0.727","0.133","0.339","-4.414","197.9","0"
"2022-01-27 13:30:44.7","170868745","-0.772","0.195","0.27","-4.499","198.5","0"
"2022-01-27 13:30:44.75","170868746","-0.845","0.132","0.229","-4.403","198.1","0"
"2022-01-27 13:30:44.8","170868747","-0.757","0.156","0.262","-4.202","198.5","0"
"2022-01-27 13:30:44.85","170868748","-0.715","0.255","0.348","-4.274","200.4","0"
"2022-01-27 13:30:44.9","170868749","-0.679","0.133","0.401","-4.336","199.6","0"
"2022-01-27 13:30:44.95","170868750","-0.772","0.422","0.394","-4.352","201.5","0"
"2022-01-27 13:30:45","170868751","-0.789","0.162","0.43","-4.375","201.6","0"
"2022-01-27 13:30:45.05","170868752","-0.677","0.263","0.537","-4.414","201.4","0"
"2022-01-27 13:30:45.1","170868753","-0.677","0.198","0.577","-4.359","199.2","0"
"2022-01-27 13:30:45.15","170868754","-0.716","0.195","0.504","-4.267","199.3","0"
"2022-01-27 13:30:45.2","170868755","-0.778","0.105","0.341","-4.17","200.8","0"
"2022-01-27 13:30:45.25","170868756","-0.745","-0.04","0.249","-4.074","201.6","0"
"2022-01-27 13:30:45.3","170868757","-0.606","0.059","0.359","-4.058","201.5","0"
"2022-01-27 13:30:45.35","170868758","-0.843","0.007","0.211","-3.986","201.5","0"
"2022-01-27 13:30:45.4","170868759","-0.692","-0.025","0.195","-4.02","201.2","0"
"2022-01-27 13:30:45.45","170868760","-0.523","0.016","0.385","-4.146","198.8","0"
"2022-01-27 13:30:45.5","170868761","-0.554","0.017","0.501","-4.28","200.5","0"
"2022-01-27 13:30:45.55","170868762","-0.691","-0.17","0.4","-4.305","201.1","0"
"2022-01-27 13:30:45.6","170868763","-0.628","-0.212","0.436","-4.334","198.6","0"
"2022-01-27 13:30:45.65","170868764","-0.711","-0.33","0.396","-4.365","197.6","0"
"2022-01-27 13:30:45.7","170868765","-0.606","-0.326","0.462","-4.471","198.2","0"
"2022-01-27 13:30:45.75","170868766","-0.599","-0.206","0.56","-4.565","198.4","0"
"2022-01-27 13:30:45.8","170868767","-0.618","-0.386","0.516","-4.552","199.8","0"
